11/05/2024	
Pattern groups for guesses from the Large Vocabulary words list (14,855 words) into Wordlebot’s Classic Solutions list (2,309 words)										
qty = qty of possible remaining words groups, i.e. the number of different clue patterns for the guess
ent = remaining words groups entropy in bits (powers of 2)
min, max = minimum and maximum group sizes amongst the number of different clue patterns for the guess
ave = average group size, i.e. # solutions / # groups
exp = expected group size, i.e. sum of each group size * expectation for that group 
p2 = group size population variance

sorted by entropy

guess	qty	ent     min     max     ave     exp     p2
toner	128	5.567	1	260	18.039	87.41	1251.44
anise	128	5.566	1	207	18.039	82.80	1168.16
caser	123	5.566	1	237	18.772	80.94	1167.09
tores	122	5.564	1	244	18.926	84.33	1237.86
scale	131	5.564	1	255	17.626	87.32	1228.36
anole	120	5.563	1	182	19.242	78.67	1143.45
leats	125	5.561	1	221	18.472	82.41	1180.99
cares	126	5.560	1	237	18.325	81.70	1161.31
salue	119	5.559	1	218	19.403	84.10	1255.37
targe	126	5.559	1	275	18.325	86.43	1248.09
maire	124	5.558	1	217	18.621	79.68	1136.90
atone	113	5.557	1	191	20.434	78.78	1192.16
caner	133	5.557	1	263	17.361	86.99	1208.85
dealt	135	5.556	1	257	17.104	91.06	1264.94
tires	121	5.556	1	245	19.083	83.84	1235.81
thale	134	5.554	1	245	17.231	87.88	1217.43
relit	127	5.554	1	209	18.181	82.26	1164.98
laers	110	5.554	1	205	20.991	78.84	1214.30
sarge	118	5.554	1	261	19.568	85.21	1284.50
marse	126	5.554	1	269	18.325	87.83	1273.76
train	137	5.553	1	264	16.854	88.52	1207.79
corse	131	5.553	1	254	17.626	88.77	1254.04
renal	129	5.553	1	212	17.899	81.08	1130.94
stile	125	5.553	1	269	18.472	88.94	1301.66
tolar	128	5.551	1	223	18.039	82.94	1170.66
plate	131	5.550	1	255	17.626	89.04	1258.68
spare	134	5.550	1	269	17.231	91.37	1277.49
lacet	126	5.548	1	233	18.325	83.54	1195.04
clear	137	5.547	1	249	16.854	88.26	1203.47
serac	119	5.546	1	237	19.403	84.49	1262.86
riant	125	5.546	1	264	18.472	88.70	1297.32
rinse	129	5.546	1	243	17.899	84.80	1197.45
sitar	121	5.546	1	260	19.083	85.37	1264.89
oriel	110	5.541	1	186	20.991	76.54	1166.08
porae	122	5.540	1	223	18.926	85.05	1251.46
retia	125	5.538	1	193	18.472	78.25	1104.28
trial	125	5.538	1	218	18.472	82.62	1184.99
solar	118	5.537	1	231	19.568	82.56	1232.57
slade	122	5.536	1	272	18.926	89.41	1333.99
teary	127	5.535	1	198	18.181	83.78	1192.73
orant	124	5.535	1	256	18.621	85.57	1246.67
shale	133	5.535	1	241	17.361	90.85	1275.82
resit	128	5.533	1	245	18.039	86.52	1235.27
nares	110	5.532	1	219	20.991	75.99	1154.46
armet	127	5.532	1	274	18.181	89.72	1300.70
glare	126	5.530	1	270	18.325	88.51	1286.17
aeros	109	5.530	1	182	21.183	74.92	1138.22
marle	126	5.529	1	270	18.325	86.26	1244.90
aster	112	5.528	1	226	20.616	77.75	1177.95
dater	129	5.527	1	268	17.899	87.74	1250.11
pearl	134	5.526	1	265	17.231	91.15	1273.70
rouet	124	5.525	1	254	18.621	89.30	1316.11
aloes	108	5.524	1	172	21.380	77.15	1192.31
rated	127	5.524	1	268	18.181	88.20	1272.98
earls	111	5.522	1	205	20.802	78.66	1203.64
stole	119	5.520	1	224	19.403	84.26	1258.36
rathe	117	5.519	1	261	19.735	84.65	1281.12
nacre	123	5.519	1	263	18.772	84.24	1228.96
paise	128	5.519	1	234	18.039	90.00	1298.02
deair	125	5.518	1	220	18.472	85.07	1230.17
serin	128	5.518	1	243	18.039	85.83	1222.90
lance	129	5.518	1	273	17.899	90.84	1305.59
stair	122	5.517	1	260	18.926	86.73	1283.27
pater	130	5.517	1	267	17.762	89.35	1271.57
neral	122	5.516	1	212	18.926	80.50	1165.41
loast	122	5.516	1	284	18.926	90.29	1350.69
sonar	122	5.516	1	260	18.926	87.78	1303.22
liter	124	5.515	1	209	18.621	83.21	1202.78
nitre	121	5.515	1	269	19.083	86.53	1287.12
palet	133	5.515	1	255	17.361	89.77	1257.09
canoe	123	5.515	1	216	18.772	86.73	1275.77
crine	128	5.514	1	291	18.039	95.66	1400.16
norie	112	5.513	1	218	20.616	81.35	1252.06
tenor	120	5.512	1	260	19.242	86.42	1292.53
reoil	109	5.512	1	186	21.183	76.87	1179.67
crone	131	5.512	1	285	17.626	93.83	1343.17
slice	125	5.511	1	291	18.472	96.00	1432.14
taper	127	5.511	1	267	18.181	89.04	1288.37
saint	129	5.510	1	345	17.899	103.90	1539.35
nears	108	5.509	1	219	21.380	80.53	1264.66
arled	124	5.509	1	270	18.621	90.03	1329.77
senor	122	5.508	1	236	18.926	83.89	1229.46
soral	118	5.506	1	231	19.568	85.58	1291.67
route	118	5.501	1	254	19.568	86.67	1313.06
irone	113	5.499	1	218	20.434	83.43	1287.22
haole	110	5.498	1	209	20.991	79.93	1237.21
adret	121	5.497	1	268	19.083	88.31	1320.97
lacer	132	5.497	1	249	17.492	85.47	1189.16
seron	126	5.495	1	236	18.325	87.52	1268.06
claes	120	5.495	1	255	19.242	89.80	1357.60
tesla	119	5.495	1	221	19.403	84.97	1272.31
slant	131	5.493	1	316	17.626	98.54	1426.23
tread	134	5.492	1	268	17.231	94.84	1337.25
sabre	117	5.491	1	277	19.735	90.35	1393.65
ramet	123	5.491	1	274	18.772	90.23	1341.48
larnt	110	5.490	1	208	20.991	85.74	1359.05
irade	119	5.490	1	220	19.403	85.10	1274.68
ramse	120	5.490	1	269	19.242	89.49	1351.73
cleat	134	5.489	1	263	17.231	96.57	1367.18
petar	131	5.489	1	267	17.626	93.03	1329.10
tinea	123	5.489	1	217	18.772	87.63	1292.53
ruote	118	5.488	1	254	19.568	86.73	1314.21
oaten	122	5.488	1	191	18.926	81.23	1179.23
